time;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440;KT2440
12.00;0.075563232;0.04860482;0.060158425;0.040902417;0.040319385;2.76859778;4.820243615;5.505757502;5.232322187;5.463394284;5.694466381;0.075563232;0.040902417;0.044753619;0.033200014;0.035839453;2.82235696;4.720112373;5.163000558;5.07057172;5.055166913;5.890877663;0.09481924;0.083265635;0.083265635;0.040902417;0.040319385;2.95675491;4.654641946;5.136042147;5.120637341;5.151446954;5.906282469
12.25;0.075430432;0.04847202;0.060025625;0.040769617;0.040319385;2.782037575;4.939498065;5.871488855;5.528731911;5.898447266;5.563392726;0.075430432;0.040769617;0.044620819;0.033067214;0.035839453;2.844756618;4.85477163;5.270701403;5.193677371;5.174421363;5.875340056;0.09468644;0.067728028;0.07157923;0.044620819;0.035839453;2.965714774;4.785450001;5.224486984;5.205230976;5.262999;5.744399201
12.50;0.075696032;0.04873762;0.060291225;0.041035217;0.040319385;2.790997438;5.055299713;5.887159261;5.921820076;5.902564068;5.444271076;0.075696032;0.041035217;0.044886419;0.033332814;0.035839453;2.858196413;5.009085294;5.482783092;5.274818205;5.394205455;5.783176818;0.09495204;0.067993628;0.067993628;0.04873762;0.035839453;2.9836345;4.916656455;5.321032624;5.278669407;5.532848713;5.517443907
12.75;0.075164831;0.04820642;0.059760025;0.040504017;0.040319385;2.799957301;5.154899755;5.771092013;6.040676125;5.878925658;5.47840069;0.075164831;0.040504017;0.044355219;0.032801614;0.035839453;2.871636208;5.112536537;5.863520851;5.566978327;5.659407166;5.751836005;0.094420839;0.07131363;0.075164831;0.044355219;0.035839453;2.992594364;4.993149287;5.543871118;5.493805497;5.821157634;5.470698287
13.00;0.075563232;0.04860482;0.060158425;0.040902417;0.040319385;2.813397096;5.243875792;5.682912776;6.014116114;5.555823123;5.517311107;0.07171203;0.040902417;0.044753619;0.033200014;0.035839453;2.880596072;5.197661373;5.898580066;5.890877663;5.994860106;5.463394284;0.09481924;0.067860828;0.079414433;0.044753619;0.035839453;3.006034159;5.07057172;5.86006805;5.833109639;6.006413711;5.521162308
13.25;0.075696032;0.04873762;0.060291225;0.037184016;0.040319385;2.835796755;5.328735028;5.640682358;5.748516003;5.374949447;5.567509528;0.075696032;0.041035217;0.044886419;0.033332814;0.035839453;2.90299573;5.290223012;5.960332092;6.033504922;5.975736898;5.521295108;0.09495204;0.07184483;0.067993628;0.044886419;0.035839453;3.028433817;5.159282157;5.910266471;5.9795881;6.010397713;5.532848713
13.50;0.075563232;0.04860482;0.060158425;0.037051215;0.040319385;2.840276686;5.421031066;5.432584671;5.401775058;5.390221453;5.62129355;0.07171203;0.040902417;0.044753619;0.033200014;0.035839453;2.907475662;5.359411841;5.921687276;6.029520921;5.744532002;5.536567115;0.09481924;0.060158425;0.07171203;0.04860482;0.035839453;3.028433817;5.236173389;5.952496888;5.948645687;5.890877663;5.582781534
13.75;0.079547233;0.04873762;0.060291225;0.037184016;0.040319385;2.858196413;5.494336697;5.448122278;5.390354253;5.448122278;5.671491971;0.075696032;0.041035217;0.044886419;0.033332814;0.035839453;2.92987532;5.417312665;5.952629689;5.917968874;5.563658326;5.579063132;0.09495204;0.067993628;0.075696032;0.041035217;0.035839453;3.046353544;5.328735028;5.960332092;5.71770639;5.663789568;5.625277552
14.00;0.075430432;0.04847202;0.060025625;0.036918415;0.040319385;2.867156277;5.574946331;5.470963887;5.432451871;5.509475903;5.698184782;0.075430432;0.040769617;0.044620819;0.033067214;0.035839453;2.947795047;5.486368694;5.863786451;5.532583113;5.467112686;5.613458347;0.09468644;0.067728028;0.067728028;0.040769617;0.035839453;3.068753202;5.413195863;5.975471298;5.494071097;5.590351137;5.655821564
14.25;0.075696032;0.04873762;0.060291225;0.037184016;0.040319385;2.885076003;5.62142635;5.490485495;5.490485495;5.559807124;5.710003987;0.07184483;0.041035217;0.044886419;0.033332814;0.035839453;2.95675491;5.540551116;5.683045576;5.471229487;5.440419874;5.652235963;0.09495204;0.064142427;0.079547233;0.041035217;0.035839453;3.082192997;5.482783092;5.910266471;5.417312665;5.451973479;5.694599181
